Var1,Var2
282,11.5352657130221
283,11.5336476841975
284,11.5320298670313
285,11.5304122615223
286,11.5287948676694
287,11.5271776854715
288,11.5255607149273
289,11.5239439560358
290,11.5223274087958
291,11.5207110732061
292,11.5190949492656
293,11.5174790369731
294,11.5158633363275
295,11.5142478473276
296,11.5126325699723
297,11.5110175042603
298,11.5094026501907
299,11.5077880077622
300,11.5061735769736
301,11.5045593578238
302,11.5029453503117
303,11.5013315544361
304,11.4997179701958
305,11.4981045975898
306,11.4964914366168
307,11.4948784872756
308,11.4932657495653
309,11.4916532234845
310,11.4900409090321
311,11.488428806207
312,11.4868169150081
313,11.4852052354341
314,11.4835937674839
315,11.4819825111565
316,11.4803714664505
317,11.4787606333649
318,11.4771500118985
319,11.4755396020502
320,11.4739294038188
321,11.4723194172032
