Creation Time,Travel Endtime,Search Distance,Total Distance,Car Failed
18002,18763,55,4569,false
22644,22846,12,1215,false
19848,20362,77,3086,false
23137,23442,26,1831,false
13998,14809,55,4870,false
15382,16043,55,3967,false
23758,23912,26,928,false
23175,23484,55,1860,false
19202,19956,12,4526,false
21574,22077,12,3021,false
18325,18586,67,1571,false
22376,22979,9,3620,false
21932,22083,9,911,false
17944,18597,9,3921,false
15694,15953,55,1559,false
23816,24271,26,2734,false
21606,21869,77,1581,false
23529,23740,67,1270,false
16493,16903,55,2462,false
22452,23158,26,4239,false
21352,21955,9,3620,false
23981,24235,26,1530,false
23559,24186,152,3763,false
17283,17645,67,2173,false
16762,17064,9,1814,false
22326,23030,12,4225,false
21724,22437,67,4280,false
22869,23281,67,2474,false
22354,22767,77,2484,false
19387,19897,55,3064,false
24021,24182,67,969,false
23942,24395,12,2720,false
19425,19928,12,3021,false
20498,21051,9,3319,false
21677,22089,67,2474,false
21452,22166,77,4290,false
22960,23169,55,1258,false
23068,23584,93,3102,false
21468,21777,55,1860,false
21268,21479,67,1270,false
22103,22505,9,2416,false
22992,23606,77,3688,false
21484,21986,9,3018,false
23250,23714,77,2785,false
23427,23880,12,2720,false
22487,23140,12,3924,false
23100,23313,77,1280,false
20870,21473,9,3620,false
21191,21693,9,3018,false
23902,24665,67,4581,false
23600,23960,55,2161,false
23653,24065,67,2474,false
21886,22291,26,2433,false
17725,18478,9,4523,false
16901,17160,55,1559,false
20970,21185,93,1296,false
18909,19419,55,3064,false
20768,21220,9,2717,false
22724,23428,12,4225,false
22066,22619,12,3322,false
21701,22404,9,4222,false
24205,24708,12,3021,false
23987,24741,12,4526,false
20567,20969,9,2416,false
15565,15874,55,1860,false
20934,21396,67,2775,false
23752,24463,55,4268,false
23112,23263,9,911,false
22276,22587,67,1872,false
14804,15517,67,4280,false
24498,24950,9,2717,false
20815,21167,12,2118,false
16461,16913,9,2717,false
23206,23260,26,326,false
17578,18080,9,3018,false
22361,22764,12,2419,false
19335,19648,77,1882,false
19927,20337,55,2462,false
22508,23061,9,3319,false
22205,22357,12,914,false
22914,23225,67,1872,false
20387,20639,12,1516,false
24423,24976,9,3319,false
22777,23330,12,3322,false
22514,23375,55,5171,false
19836,20350,77,3086,false
24071,24656,206,3516,false
18167,18476,55,1860,false
15975,16026,9,309,false
21302,21403,9,610,false
24525,24740,93,1296,false
19256,19659,12,2419,false
23481,23792,67,1872,false
22770,23334,77,3387,false
22110,22572,67,2775,false
22953,23864,55,5472,false
19309,20122,67,4882,false
23475,24192,93,4306,false
20200,20917,93,4306,false
23181,23944,67,4581,false
18476,18889,77,2484,false
21917,22520,9,3620,false
22843,23305,67,2775,false
23856,24559,9,4222,false
24314,24674,55,2161,false
16555,16907,9,2115,false
22849,23516,93,4005,false
24482,25008,152,3161,false
17060,17171,67,668,false
19538,20048,55,3064,false
18952,19755,9,4824,false
19162,19664,9,3018,false
20147,20301,26,928,false
23004,23256,9,1513,false
23891,24446,26,3336,false
24647,24776,178,779,false
23403,23763,55,2161,false
15858,16117,55,1559,false
20833,21386,9,3319,false
22596,22905,55,1860,false
19755,20107,9,2115,false
22340,22653,77,1882,false
16331,16590,55,1559,false
23565,23968,12,2419,false
19296,19808,67,3076,false
18820,19180,55,2161,false
22576,22989,77,2484,false
21104,21363,55,1559,false
20168,20369,9,1212,false
24105,24316,67,1270,false
18542,19097,26,3336,false
21825,22187,67,2173,false
23469,23829,55,2161,false
21999,22162,77,979,false
23433,24047,77,3688,false
24155,24861,26,4239,false
19660,20163,12,3021,false
20730,20831,9,610,false
21755,22472,93,4306,false
20740,21200,55,2763,false
24990,25607,93,3704,false
22397,22800,12,2419,false
20805,21415,55,3666,false
24934,25389,26,2734,false
20126,20337,67,1270,false
24287,24797,55,3064,false
23415,23968,9,3319,false
21685,22295,55,3666,false
22704,23408,12,4225,false
23936,24539,12,3623,false
21015,21467,9,2717,false
22459,22921,67,2775,false
21121,21683,67,3377,false
19065,19525,55,2763,false
18308,19061,9,4523,false
24715,25175,55,2763,false
16123,16475,12,2118,false
24610,25525,77,5494,false
20179,20531,9,2115,false
22212,22664,9,2717,false
24568,25123,26,3336,false
24083,24346,77,1581,false
23896,24549,12,3924,false
25112,25572,55,2763,false
22369,22881,67,3076,false
23384,23636,9,1513,false
21590,21842,12,1516,false
20438,20590,12,914,false
22305,23135,171,4986,false
19939,20453,77,3086,false
21199,21960,55,4569,false
18410,18712,12,1817,false
18274,19187,67,5484,false
22908,23571,67,3979,false
17599,17858,55,1559,false
24809,25371,67,3377,false
20721,21434,67,4280,false
20284,20486,12,1215,false
24260,24921,55,3967,false
22190,22602,67,2474,false
24820,25024,26,1229,false
23541,24003,67,2775,false
25344,25610,93,1597,false
24799,25764,77,5795,false
21112,21391,171,1675,false
24342,24553,67,1270,false
17621,18081,55,2763,false
18493,18694,9,1212,false
21630,22092,67,2775,false
23677,24132,26,2734,false
21327,21988,55,3967,false
18966,19727,55,4569,false
18076,18578,9,3018,false
21077,21429,12,2118,false
20050,20653,9,3620,false
25698,25852,26,928,false
24471,24884,77,2484,false
25679,26014,206,2011,false
23862,24673,55,4870,false
20952,21304,12,2118,false
22183,22543,55,2161,false
23087,23654,93,3403,false
25542,26104,67,3377,false
25532,26058,152,3161,false
19107,19719,67,3678,false
24851,25557,26,4239,false
24546,25210,77,3989,false
24768,24933,93,995,false
21251,21806,26,3336,false
24825,24887,77,377,false
20093,20703,55,3666,false
22711,23020,55,1860,false
24626,25081,26,2734,false
23317,23729,67,2474,false
24111,24664,12,3322,false
22617,22969,12,2118,false
23366,23869,12,3021,false
24177,24436,55,1559,false
26207,26309,12,613,false
21794,22096,12,1817,false
23505,24034,171,3180,false
21319,21879,55,3365,false
23688,24043,26,2132,false
25319,26032,67,4280,false
25824,26379,26,3336,false
17642,18044,9,2416,false
22590,23000,55,2462,false
22583,23136,9,3319,false
22139,22592,12,2720,false
24742,24955,77,1280,false
25945,26004,55,355,false
23850,24260,55,2462,false
21833,22596,67,4581,false
18760,19320,55,3365,false
23810,24170,55,2161,false
23618,24120,9,3018,false
19994,20446,9,2717,false
18256,18970,77,4290,false
21182,21846,77,3989,false
25369,25678,55,1860,false
17964,18576,67,3678,false
19216,19869,9,3921,false
21693,21995,9,1814,false
25234,25689,26,2734,false
23787,23988,9,1212,false
25650,25712,77,377,false
18020,18281,67,1571,false
24944,25658,77,4290,false
25805,25920,93,694,false
24487,25049,67,3377,false
24668,24822,26,928,false
19950,20352,9,2416,false
17906,18559,9,3921,false
22751,22802,12,312,false
18850,19713,67,5183,false
25718,26130,67,2474,false
26093,26404,67,1872,false
22817,23372,26,3336,false
24520,25034,77,3086,false
17086,17797,55,4268,false
23723,24287,77,3387,false
25868,26230,67,2173,false
25776,26181,26,2433,false
21024,21125,9,610,false
22333,22585,12,1516,false
25561,25924,77,2183,false
23163,23615,9,2717,false
23970,24731,55,4569,false
25926,26689,67,4581,false
25203,25364,67,969,false
24726,25437,55,4268,false
24254,24764,55,3064,false
25329,25993,77,3989,false
18745,19456,55,4268,false
19189,19591,9,2416,false
25576,25828,12,1516,false
22856,23322,93,2801,false
24088,24349,67,1571,false
21173,21282,55,656,false
17807,18159,9,2115,false
26007,26760,9,4523,false
19501,20054,9,3319,false
22473,22976,12,3021,false
21369,22080,55,4268,false
25448,25599,9,911,false
21771,22025,26,1530,false
22972,23425,12,2720,false
23764,23975,67,1270,false
25630,25889,55,1559,false
24304,24916,67,3678,false
17111,17623,67,3076,false
21709,21920,67,1270,false
22445,22697,9,1513,false
26045,26867,123,4938,false
25128,25480,9,2115,false
17746,18198,9,2717,false
18343,19247,9,5426,false
23839,24048,55,1258,false
25046,25499,12,2720,false
25107,25259,12,914,false
24194,24546,9,2115,false
25659,26223,77,3387,false
19322,19373,9,309,false
21335,21646,67,1872,false
21871,22577,26,4239,false
24363,24517,26,928,false
23342,23594,9,1513,false
18525,18734,55,1258,false
24578,25040,67,2775,false
24867,25578,55,4268,false
20759,21562,9,4824,false
23700,24060,55,2161,false
23624,24077,12,2720,false
23612,24215,9,3620,false
21419,21921,9,3018,false
22671,23324,12,3924,false
24923,25676,9,4523,false
25620,26223,12,3623,false
22650,22959,55,1860,false
24493,24859,93,2199,false
18981,19642,55,3967,false
19563,19822,55,1559,false
24721,24934,77,1280,false
22081,22344,77,1581,false
18574,18934,55,2161,false
25178,25781,9,3620,false
22118,22584,93,2801,false
25537,26151,77,3688,false
25911,25972,67,367,false
25153,25458,26,1831,false
26485,26990,26,3035,false
24747,25157,55,2462,false
24658,24770,77,678,false
25423,25682,55,1559,false
19023,19784,55,4569,false
19696,20098,9,2416,false
21661,22288,152,3763,false
21095,21898,9,4824,false
24887,25239,9,2115,false
23256,23407,9,911,false
24347,24599,9,1513,false
25224,25487,77,1581,false
17235,17795,55,3365,false
22737,23140,12,2419,false
21165,21618,12,2720,false
23212,23715,12,3021,false
21598,21911,77,1882,false
23833,24108,152,1656,false
23336,24000,77,3989,false
23582,24243,55,3967,false
21386,21798,67,2474,false
26709,27273,77,3387,false
23293,23920,152,3763,false
25635,26245,55,3666,false
22979,23231,12,1516,false
25011,25464,12,2720,false
26798,27161,77,2183,false
25591,26406,77,4892,false
22940,23604,78,3990,false
21954,22615,55,3967,false
24043,24757,77,4290,false
24238,24504,93,1597,false
25786,26095,55,1860,false
26112,26768,26,3938,false
23647,24508,55,5171,false
25188,25591,12,2419,false
25732,26399,93,4005,false
26691,27408,93,4306,false
17663,17915,9,1513,false
21638,22193,26,3336,false
24830,25141,67,1872,false
26649,27101,9,2717,false
22269,22722,12,2720,false
24227,24837,55,3666,false
24815,25425,55,3666,false
24908,25572,77,3989,false
24221,24874,12,3924,false
23913,24627,77,4290,false
22784,23348,77,3387,false
21139,21802,67,3979,false
21947,22162,93,1296,false
24077,24680,9,3620,false
23131,23406,152,1656,false
26686,27248,67,3377,false
22088,22591,12,3021,false
26928,27531,12,3623,false
24027,24780,9,4523,false
22161,22867,26,4239,false
25339,25801,67,2775,false
26136,26340,26,1229,false
21924,22336,67,2474,false
22319,22729,55,2462,false
26728,27254,152,3161,false
19093,19445,9,2115,false
27002,27566,77,3387,false
26297,26451,26,928,false
25016,25630,77,3688,false
20418,20469,12,312,false
24918,25334,93,2500,false
25031,25133,12,613,false
24210,24822,67,3678,false
20060,20312,9,1513,false
20879,21640,55,4569,false
23445,24108,67,3979,false
21216,21969,9,4523,false
23081,23591,55,3064,false
20702,21013,67,1872,false
23682,24142,55,2763,false
24573,25083,55,3064,false
24271,24634,77,2183,false
25148,25411,77,1581,false
17766,18629,67,5183,false
25954,26557,9,3620,false
17886,18446,55,3365,false
24407,24759,12,2118,false
24882,25546,77,3989,false
26509,26830,123,1928,false
21969,22329,55,2161,false
23062,23422,55,2161,false
25158,25661,12,3021,false
22125,22678,9,3319,false
26969,27170,9,1212,false
25998,26551,9,3319,false
26269,26879,55,3666,false
23017,23570,12,3322,false
20988,21197,55,1258,false
22895,23649,12,4526,false
26583,26995,67,2474,false
23499,23801,12,1817,false
25552,25656,26,627,false
20606,21259,9,3921,false
22998,23551,9,3319,false
20104,20514,55,2462,false
23487,23890,12,2419,false
20576,20727,9,911,false
23451,23767,93,1898,false
25921,26435,77,3086,false
23535,24037,9,3018,false
25324,26038,77,4290,false
20488,20891,12,2419,false
24636,24988,12,2118,false
23511,23670,55,957,false
21848,22504,26,3938,false
20777,21330,9,3319,false
22966,23478,67,3076,false
20518,21128,55,3666,false
25742,25953,67,1270,false
20315,21026,55,4268,false
20263,20916,9,3921,false
22198,22400,12,1215,false
20336,20645,55,1860,false
23925,24578,9,3921,false
24841,25355,77,3086,false
27126,27385,55,1559,false
19719,20179,55,2763,false
25279,25943,77,3989,false
20190,20695,26,3035,false
23822,24485,67,3979,false
24477,25133,26,3938,false
18835,19496,55,3967,false
25173,26137,67,5785,false
18558,19211,9,3921,false
25193,25707,77,3086,false
25586,26200,77,3688,false
26079,26240,67,969,false
22466,23130,77,3989,false
19790,20393,9,3620,false
18509,18660,9,911,false
22425,23129,12,4225,false
23919,24632,67,4280,false
26737,27099,67,2173,false
25556,26111,26,3336,false
25873,26189,93,1898,false
26565,27125,55,3365,false
21068,21269,9,1212,false
26611,27125,77,3086,false
20861,21421,55,3365,false
27269,27649,178,2284,false
24689,25403,77,4290,false
21977,22530,9,3319,false
22744,23408,77,3989,false
26377,26740,77,2183,false
24557,24809,9,1513,false
24970,25582,67,3678,false
25458,25972,77,3086,false
24939,25449,55,3064,false
19599,20152,9,3319,false
24309,25013,12,4225,false
27122,27749,152,3763,false
27813,28072,55,1559,false
25640,25791,9,911,false
19175,19427,9,1513,false
22501,23004,12,3021,false
18995,19756,55,4569,false
19476,19988,67,3076,false
26443,26809,93,2199,false
23390,23803,77,2484,false
22176,22628,9,2717,false
27753,28155,9,2416,false
24509,24872,78,2184,false
26103,26455,9,2115,false
22637,22852,93,1296,false
25077,25580,12,3021,false
20211,20663,9,2717,false
27200,28154,12,5730,false
24731,25184,12,2720,false
23354,23857,12,3021,false
19009,19361,9,2115,false
25502,25918,95,2502,false
27463,28066,12,3623,false
25940,26450,55,3064,false
27573,28085,67,3076,false
21894,22045,9,911,false
23219,23521,9,1814,false
19684,19885,9,1212,false
24282,24846,77,3387,false
26292,26695,12,2419,false
27670,27886,95,1298,false
19037,19741,12,4225,false
26881,27194,78,1883,false
20842,21495,9,3921,false
26541,26854,78,1883,false
26597,27501,9,5426,false
23287,23899,67,3678,false
25274,25629,26,2132,false
26410,26715,26,1831,false
25839,26148,55,1860,false
25478,26181,9,4222,false
23055,23307,12,1516,false
26997,27624,152,3763,false
25418,25781,77,2183,false
27993,28247,26,1530,false
23188,23648,55,2763,false
21939,22250,67,1872,false
26226,26779,12,3322,false
25123,25174,9,309,false
26681,27044,78,2184,false
23576,23931,26,2132,false
20527,20838,67,1872,false
27458,27920,67,2775,false
25219,25378,55,957,false
19438,19790,9,2115,false
20888,20989,9,610,false
26788,26951,77,979,false
23588,24294,26,4239,false
18865,19327,67,2775,false
26723,26951,171,1374,false
24514,24927,77,2484,false
23947,24502,26,3336,false
27108,27873,77,4591,false
22262,22774,67,3076,false
21310,21573,77,1581,false
24594,25300,26,4239,false
28063,28374,67,1872,false
26179,26632,12,2720,false
27707,28233,152,3161,false
27942,28356,78,2485,false
24954,25507,12,3322,false
24959,25322,77,2183,false
27684,28337,9,3921,false
22556,23220,77,3989,false
24265,24978,67,4280,false
21817,21976,55,957,false
19801,20462,55,3967,false
23421,23926,26,3035,false
21501,22205,12,4225,false
19463,20016,9,3319,false
25978,26642,78,3990,false
27334,27597,77,1581,false
27693,28069,152,2258,false
26733,27085,9,2115,false
27721,27973,12,1516,false
22875,23385,55,3064,false
26839,26990,9,911,false
25930,26342,67,2474,false
19961,20521,55,3365,false
25689,26253,77,3387,false
22836,23296,55,2763,false
22549,22951,9,2416,false
27564,28231,93,4005,false
27015,27276,67,1571,false
22347,23201,12,5128,false
24412,24924,67,3076,false
23150,23660,55,3064,false
24872,25434,67,3377,false
26867,27080,77,1280,false
19412,20026,77,3688,false
26644,26910,93,1597,false
24846,25201,26,2132,false
26457,26759,12,1817,false
27117,27428,67,1872,false
26288,26554,93,1597,false
22603,23314,55,4268,false
25443,25606,77,979,false
28039,28150,67,668,false
20749,21112,77,2183,false
22007,22259,12,1516,false
21517,22170,12,3924,false
27149,27360,67,1270,false
19051,19754,9,4222,false
22985,23237,9,1513,false
26756,26967,67,1270,false
21225,21878,9,3921,false
24835,25397,67,3377,false
28556,28710,26,928,false
28012,28317,26,1831,false
27615,28218,12,3623,false
26278,26783,26,3035,false
26978,27392,78,2485,false
21902,22312,55,2462,false
25747,26152,26,2433,false
21549,22303,12,4526,false
19882,20442,55,3365,false
25863,26226,78,2184,false
24144,24950,26,4841,false
27656,28019,78,2184,false
22037,22289,9,1513,false
25820,26233,77,2484,false
28090,28707,95,3706,false
19488,19642,26,928,false
20673,21083,55,2462,false
24985,25290,26,1831,false
21493,22199,26,4239,false
25183,25693,55,3064,false
22169,22230,67,367,false
23781,24343,67,3377,false
22790,22999,55,1258,false
24149,24702,9,3319,false
24249,25005,26,4540,false
23493,23802,55,1860,false
22521,23232,55,4268,false
28322,28574,12,1516,false
28472,28685,77,1280,false
25374,25836,67,2775,false
20295,20905,55,3666,false
23262,23471,55,1258,false
25398,26163,77,4591,false
24122,24276,26,928,false
27080,27291,67,1270,false
26853,27066,77,1280,false
25097,25613,93,3102,false
28744,29146,9,2416,false
28781,28883,12,613,false
24331,24694,77,2183,false
28565,28894,171,1976,false
27735,28452,93,4306,false
25517,25897,178,2284,false
26021,26433,67,2474,false
27412,27673,67,1571,false
27255,27468,77,1280,false
27596,27848,12,1516,false
21435,21895,55,2763,false
26955,27257,9,1814,false
21033,21335,9,1814,false
24877,25337,55,2763,false
28420,28884,77,2785,false
24293,24907,77,3688,false
27633,28095,67,2775,false
28336,28595,55,1559,false
22630,23183,12,3322,false
26904,27359,26,2734,false
27523,28087,77,3387,false
25935,26800,78,5194,false
26630,27094,77,2785,false
28486,28846,55,2161,false
21962,22572,55,3666,false
20625,21390,77,4591,false
20898,21173,152,1656,false
23636,23895,55,1559,false
26254,26515,67,1571,false
25497,25902,26,2433,false
28285,28498,78,1281,false
22154,22255,9,610,false
22022,22324,12,1817,false
22291,22651,55,2161,false
25468,26032,77,3387,false
21856,22266,55,2462,false
22029,22589,55,3365,false
26490,26954,78,2786,false
25138,25541,12,2419,false
26321,26731,55,2462,false
22810,23119,55,1860,false
21427,21736,55,1860,false
25507,26071,77,3387,false
21208,21560,9,2115,false
21810,22363,9,3319,false
28635,29403,95,4609,false
23908,24411,12,3021,false
24892,25144,12,1516,false
22234,22837,9,3620,false
22823,23132,55,1860,false
27025,27145,123,724,false
28692,29302,55,3666,false
28462,29076,77,3688,false
24094,24711,93,3704,false
26667,27231,77,3387,false
28276,28678,9,2416,false
27159,27522,77,2183,false
22051,22604,9,3319,false
21992,22394,9,2416,false
27532,28046,78,3087,false
27403,27917,77,3086,false
25269,25833,78,3388,false
23804,24106,12,1817,false
23553,24407,12,5128,false
28495,29105,55,3666,false
19708,20461,9,4523,false
24615,24828,77,1280,false
20136,20648,67,3076,false
23671,24235,77,3387,false
25601,25853,12,1516,false
27509,28223,77,4290,false
20071,20832,55,4569,false
26602,27015,77,2484,false
22610,23113,12,3021,false
27947,28409,67,2775,false
23523,23724,9,1212,false
26663,26972,55,1860,false
27011,27722,55,4268,false
25413,26126,67,4280,false
25906,26258,12,2118,false
24374,24903,171,3180,false
26830,27135,26,1831,false
28909,29515,26,3637,false
26677,27087,55,2462,false
25334,25736,9,2416,false
27417,27922,26,3035,false
25766,26180,78,2485,false
26074,26627,12,3322,false
