Time,TotalAvailable,TotalAppAvailable
25040,3727,440
25041,3727,440
25042,3727,440
25043,3727,440
25044,3727,440
25045,3727,440
25046,3727,440
25047,3726,440
25048,3726,440
25049,3726,440
25050,3725,440
25051,3725,440
25052,3725,440
25053,3725,440
25054,3725,440
25055,3726,440
25056,3726,440
25057,3726,440
25058,3726,440
25059,3726,440
25060,3726,440
25061,3726,440
25062,3726,440
25063,3726,440
25064,3725,440
25065,3724,440
25066,3723,440
25067,3723,440
25068,3723,440
25069,3723,440
25070,3723,440
25071,3722,440
25072,3722,440
25073,3722,440
25074,3722,440
25075,3722,440
25076,3722,440
25077,3722,440
25078,3722,440
25079,3722,440
25080,3722,440
25081,3722,440
25082,3722,440
25083,3722,440
25084,3721,440
25085,3721,440
25086,3721,440
25087,3721,440
25088,3721,440
25089,3721,440
25090,3721,440
25091,3720,440
25092,3720,440
25093,3720,440
25094,3720,440
25095,3720,440
25096,3719,440
25097,3719,440
25098,3719,440
25099,3719,440
25100,3719,440
25101,3719,440
25102,3718,440
25103,3717,440
25104,3717,440
25105,3717,440
25106,3717,440
25107,3716,440
25108,3715,440
25109,3713,440
25110,3713,440
25111,3712,440
25112,3711,440
25113,3711,440
25114,3711,440
25115,3711,440
25116,3710,440
25117,3710,440
25118,3710,440
25119,3710,440
25120,3710,440
25121,3709,440
25122,3709,440
25123,3710,440
25124,3710,440
25125,3710,440
25126,3710,440
25127,3710,440
25128,3711,440
25129,3711,440
25130,3709,440
25131,3709,440
25132,3709,440
25133,3709,440
25134,3709,440
25135,3709,440
25136,3709,440
25137,3709,440
25138,3709,440
25139,3710,440
25140,3711,440
25141,3711,440
25142,3711,440
25143,3711,440
25144,3711,440
25145,3711,440
25146,3710,440
25147,3710,440
25148,3709,440
25149,3709,440
25150,3709,440
25151,3709,440
25152,3709,440
25153,3708,440
25154,3708,440
25155,3708,440
25156,3708,440
25157,3708,440
25158,3707,440
25159,3707,440
25160,3707,440
25161,3708,440
25162,3708,440
25163,3708,440
25164,3708,440
25165,3708,440
25166,3708,440
25167,3707,440
25168,3706,440
25169,3706,440
25170,3706,440
25171,3706,440
25172,3706,440
25173,3706,440
25174,3705,440
25175,3705,440
25176,3705,440
25177,3705,440
25178,3705,440
25179,3705,440
25180,3705,440
25181,3705,440
25182,3705,440
25183,3705,440
25184,3705,440
25185,3705,440
25186,3705,440
25187,3705,440
25188,3704,440
25189,3704,440
25190,3703,440
25191,3703,440
25192,3703,440
25193,3703,440
25194,3702,440
25195,3702,440
25196,3702,440
25197,3702,440
25198,3702,440
25199,3701,440
25200,3701,440
25201,3701,440
25202,3701,440
25203,3701,440
25204,3701,440
25205,3701,440
25206,3701,440
25207,3701,440
25208,3701,440
25209,3701,440
25210,3702,440
25211,3702,440
25212,3702,440
25213,3701,440
25214,3701,440
25215,3701,440
25216,3701,440
25217,3701,440
25218,3701,440
25219,3701,440
25220,3700,440
25221,3700,440
25222,3699,440
25223,3698,440
25224,3699,440
25225,3698,440
25226,3699,440
25227,3699,440
25228,3699,440
25229,3699,440
25230,3699,440
25231,3699,440
25232,3699,440
25233,3699,440
25234,3698,440
25235,3698,440
25236,3698,440
25237,3697,440
25238,3697,440
25239,3697,440
25240,3697,440
25241,3697,440
25242,3697,440
25243,3696,440
25244,3696,440
25245,3696,440
25246,3696,440
25247,3695,440
25248,3695,440
25249,3694,440
25250,3693,440
25251,3693,440
25252,3693,440
25253,3693,440
25254,3693,440
25255,3693,440
25256,3692,440
25257,3692,440
25258,3692,440
25259,3692,440
25260,3693,440
25261,3694,440
25262,3694,440
25263,3694,440
25264,3694,440
25265,3694,440
25266,3692,440
25267,3692,440
25268,3692,440
25269,3692,440
25270,3692,440
25271,3692,440
25272,3692,440
25273,3692,440
25274,3691,440
25275,3691,440
25276,3691,440
25277,3691,440
25278,3691,440
25279,3691,440
25280,3691,440
25281,3691,440
25282,3691,440
25283,3691,440
25284,3690,440
25285,3690,440
25286,3690,440
25287,3689,440
25288,3689,440
25289,3688,440
25290,3688,440
25291,3688,440
25292,3688,440
25293,3688,440
25294,3688,440
25295,3687,440
25296,3687,440
25297,3687,440
25298,3687,440
25299,3687,440
25300,3687,440
25301,3687,440
25302,3687,440
25303,3687,440
25304,3687,440
25305,3688,440
25306,3688,440
25307,3687,440
25308,3687,440
25309,3687,440
25310,3687,440
25311,3687,440
25312,3687,440
25313,3687,440
25314,3687,440
25315,3687,440
25316,3687,440
25317,3686,440
25318,3686,440
25319,3686,440
25320,3685,440
25321,3685,440
25322,3686,440
25323,3686,440
25324,3686,440
25325,3685,440
25326,3685,440
25327,3685,440
25328,3685,440
25329,3685,440
25330,3686,440
25331,3686,440
25332,3686,440
25333,3686,440
25334,3686,440
25335,3686,440
25336,3686,440
25337,3686,440
25338,3686,440
25339,3686,440
25340,3686,440
25341,3686,440
25342,3685,440
25343,3685,440
25344,3685,440
25345,3685,440
25346,3684,440
25347,3684,440
25348,3684,440
25349,3684,440
25350,3684,440
25351,3684,440
25352,3684,440
25353,3684,440
25354,3683,440
25355,3683,440
25356,3682,440
25357,3682,440
25358,3682,440
25359,3682,440
25360,3682,440
25361,3682,440
25362,3682,440
25363,3682,440
25364,3682,440
25365,3682,440
25366,3682,440
25367,3682,440
25368,3682,440
25369,3682,440
25370,3682,440
25371,3682,440
25372,3682,440
25373,3682,440
25374,3682,440
25375,3682,440
25376,3682,440
25377,3682,440
25378,3682,440
25379,3681,440
25380,3680,440
25381,3680,440
25382,3680,440
25383,3680,440
25384,3680,440
25385,3680,440
25386,3680,440
25387,3680,440
25388,3680,440
25389,3680,440
25390,3681,440
25391,3681,440
25392,3681,440
25393,3681,440
25394,3681,440
25395,3681,440
25396,3681,440
25397,3681,440
25398,3681,440
25399,3681,440
25400,3681,440
25401,3681,440
25402,3680,440
25403,3680,440
25404,3679,440
25405,3678,440
25406,3678,440
25407,3678,440
25408,3678,440
25409,3678,440
25410,3677,440
25411,3677,440
25412,3677,440
25413,3677,440
25414,3677,440
25415,3675,440
25416,3675,440
25417,3675,440
25418,3674,440
25419,3674,440
25420,3674,440
25421,3674,440
25422,3674,440
25423,3674,440
25424,3675,440
25425,3674,440
25426,3674,440
25427,3674,440
25428,3674,440
25429,3674,440
25430,3673,440
25431,3673,440
25432,3674,440
25433,3673,440
25434,3673,440
25435,3673,440
25436,3673,440
25437,3672,440
25438,3672,440
25439,3672,440
25440,3671,440
25441,3671,440
25442,3671,440
25443,3670,440
25444,3670,440
25445,3670,440
25446,3670,440
25447,3670,440
25448,3670,440
25449,3669,440
25450,3668,440
25451,3668,440
25452,3668,440
25453,3668,440
25454,3668,440
25455,3668,440
25456,3668,440
25457,3667,440
25458,3667,440
25459,3667,440
25460,3666,440
25461,3666,440
25462,3666,440
25463,3666,440
25464,3665,440
25465,3665,440
25466,3665,440
25467,3664,440
25468,3664,440
25469,3664,440
25470,3664,440
25471,3665,440
25472,3665,440
25473,3664,440
25474,3664,440
25475,3664,440
25476,3664,440
25477,3664,440
25478,3664,440
25479,3664,440
25480,3663,440
25481,3663,440
25482,3663,440
25483,3663,440
25484,3662,440
25485,3662,440
25486,3662,440
25487,3662,440
25488,3662,440
25489,3662,440
25490,3662,440
25491,3662,440
25492,3662,440
25493,3663,440
25494,3663,440
25495,3663,440
25496,3663,440
25497,3663,440
25498,3663,440
25499,3664,440
25500,3664,440
25501,3664,440
25502,3664,440
25503,3664,440
25504,3662,440
25505,3662,440
25506,3662,440
25507,3662,440
25508,3662,440
25509,3662,440
25510,3662,440
25511,3661,440
25512,3661,440
25513,3661,440
25514,3661,440
25515,3661,440
25516,3660,440
25517,3660,440
25518,3660,440
25519,3661,440
25520,3661,440
25521,3658,440
25522,3658,440
25523,3658,440
25524,3658,440
25525,3658,440
25526,3657,440
25527,3657,440
25528,3657,440
25529,3657,440
25530,3656,440
25531,3656,440
25532,3656,440
25533,3656,440
25534,3656,440
25535,3656,440
25536,3654,440
25537,3654,440
25538,3653,440
25539,3653,440
25540,3653,440
25541,3653,440
25542,3653,440
25543,3653,440
25544,3652,440
25545,3651,440
25546,3651,440
25547,3651,440
25548,3651,440
25549,3650,440
25550,3650,440
25551,3650,440
25552,3651,440
25553,3650,440
25554,3650,440
25555,3649,440
25556,3649,440
25557,3649,440
25558,3649,440
25559,3648,440
25560,3648,440
25561,3648,440
25562,3648,440
25563,3648,440
25564,3648,440
25565,3648,440
25566,3648,440
25567,3647,440
25568,3647,440
25569,3647,440
25570,3647,440
25571,3647,440
25572,3647,440
25573,3647,440
25574,3647,440
25575,3647,440
25576,3647,440
25577,3648,440
25578,3648,440
25579,3648,440
25580,3648,440
25581,3648,440
25582,3649,440
25583,3649,440
25584,3648,440
25585,3647,440
25586,3647,440
25587,3647,440
25588,3647,440
25589,3647,440
25590,3646,440
25591,3646,440
25592,3646,440
25593,3646,440
25594,3646,440
25595,3646,440
25596,3646,440
25597,3646,440
25598,3645,440
25599,3645,440
25600,3645,440
25601,3645,440
25602,3644,440
25603,3644,440
25604,3644,440
25605,3644,440
25606,3644,440
25607,3644,440
25608,3644,440
25609,3643,440
25610,3643,440
25611,3643,440
25612,3642,440
25613,3642,440
25614,3642,440
25615,3641,440
25616,3641,440
25617,3641,440
25618,3641,440
25619,3641,440
25620,3641,440
25621,3641,440
25622,3640,440
25623,3640,440
25624,3641,440
25625,3641,440
25626,3641,440
25627,3641,440
25628,3641,440
25629,3641,440
25630,3641,440
25631,3640,440
25632,3640,440
25633,3640,440
25634,3640,440
25635,3638,440
25636,3638,440
25637,3638,440
25638,3638,440
25639,3637,440
25640,3637,440
25641,3637,440
25642,3637,440
25643,3637,440
25644,3637,440
25645,3637,440
25646,3637,440
25647,3636,440
25648,3636,440
25649,3636,440
25650,3634,440
25651,3634,440
25652,3633,440
25653,3633,440
25654,3633,440
25655,3633,440
25656,3633,440
25657,3632,440
25658,3632,440
25659,3632,440
25660,3632,440
25661,3632,440
25662,3632,440
25663,3633,440
25664,3633,440
25665,3633,440
25666,3633,440
25667,3633,440
25668,3633,440
25669,3633,440
25670,3633,440
25671,3633,440
25672,3633,440
25673,3633,440
25674,3633,440
25675,3633,440
25676,3631,440
25677,3631,440
25678,3631,440
25679,3632,440
25680,3632,440
25681,3632,440
25682,3632,440
25683,3632,440
25684,3631,440
25685,3630,440
25686,3630,440
25687,3630,440
25688,3630,440
25689,3630,440
25690,3630,440
25691,3630,440
25692,3630,440
25693,3631,440
25694,3630,440
25695,3629,440
25696,3628,440
25697,3628,440
25698,3627,440
25699,3627,440
25700,3626,440
25701,3626,440
25702,3626,440
25703,3626,440
25704,3626,440
25705,3625,440
25706,3625,440
25707,3625,440
25708,3625,440
25709,3625,440
25710,3625,440
25711,3625,440
25712,3625,440
25713,3625,440
25714,3624,440
25715,3624,440
25716,3623,440
25717,3623,440
25718,3623,440
25719,3623,440
25720,3623,440
25721,3623,440
25722,3624,440
25723,3624,440
25724,3624,440
25725,3624,440
25726,3624,440
25727,3623,440
25728,3622,440
25729,3622,440
25730,3622,440
25731,3622,440
25732,3622,440
25733,3621,440
25734,3621,440
25735,3620,440
25736,3620,440
25737,3620,440
25738,3620,440
25739,3620,440
25740,3619,440
25741,3619,440
25742,3618,440
25743,3618,440
25744,3618,440
25745,3618,440
25746,3618,440
25747,3618,440
25748,3618,440
25749,3618,440
25750,3618,440
25751,3618,440
25752,3617,440
25753,3617,440
25754,3617,440
25755,3617,440
25756,3617,440
25757,3617,440
25758,3616,440
25759,3616,440
25760,3616,440
25761,3616,440
25762,3615,440
25763,3615,440
25764,3614,440
25765,3614,440
25766,3614,440
25767,3613,440
25768,3613,440
25769,3612,440
25770,3611,440
25771,3611,440
25772,3611,440
25773,3611,440
25774,3611,440
25775,3611,440
25776,3611,440
25777,3611,440
25778,3611,440
25779,3611,440
25780,3612,440
25781,3611,440
25782,3611,440
25783,3611,440
25784,3611,440
25785,3610,440
25786,3610,440
25787,3610,440
25788,3610,440
25789,3610,440
25790,3610,440
25791,3610,440
25792,3610,440
25793,3609,440
25794,3609,440
25795,3609,440
25796,3609,440
25797,3609,440
25798,3609,440
25799,3609,440
25800,3609,440
25801,3610,440
25802,3610,440
25803,3610,440
25804,3610,440
25805,3610,440
25806,3610,440
25807,3610,440
25808,3610,440
25809,3611,440
25810,3611,440
25811,3611,440
25812,3611,440
25813,3611,440
25814,3612,440
25815,3611,440
25816,3611,440
25817,3611,440
25818,3611,440
25819,3611,440
25820,3611,440
25821,3611,440
25822,3611,440
25823,3611,440
25824,3611,440
25825,3611,440
25826,3610,440
25827,3610,440
25828,3610,440
25829,3610,440
25830,3611,440
25831,3611,440
25832,3611,440
25833,3609,440
25834,3610,440
25835,3610,440
25836,3610,440
25837,3609,440
25838,3609,440
25839,3609,440
25840,3609,440
25841,3608,440
25842,3608,440
25843,3609,440
25844,3609,440
25845,3609,440
25846,3609,440
25847,3609,440
25848,3609,440
25849,3609,440
25850,3609,440
25851,3609,440
25852,3609,440
25853,3609,440
25854,3610,440
25855,3610,440
25856,3610,440
25857,3610,440
25858,3610,440
25859,3608,440
25860,3608,440
25861,3608,440
25862,3608,440
25863,3607,440
25864,3607,440
25865,3607,440
25866,3607,440
25867,3607,440
25868,3607,440
25869,3608,440
25870,3607,440
25871,3607,440
25872,3607,440
25873,3608,440
25874,3608,440
25875,3609,440
25876,3609,440
25877,3609,440
25878,3610,440
25879,3610,440
25880,3610,440
25881,3609,440
25882,3609,440
25883,3609,440
25884,3609,440
25885,3609,440
25886,3609,440
25887,3609,440
25888,3609,440
25889,3609,440
25890,3609,440
25891,3609,440
25892,3609,440
25893,3608,440
25894,3608,440
25895,3608,440
25896,3608,440
25897,3608,440
25898,3608,440
25899,3608,440
25900,3607,440
25901,3607,440
25902,3607,440
25903,3607,440
25904,3607,440
25905,3607,440
25906,3607,440
25907,3607,440
25908,3608,440
25909,3609,440
25910,3609,440
25911,3609,440
25912,3609,440
25913,3609,440
25914,3609,440
25915,3609,440
25916,3609,440
25917,3609,440
25918,3610,440
25919,3610,440
25920,3610,440
25921,3609,440
25922,3608,440
25923,3608,440
25924,3608,440
25925,3607,440
25926,3606,440
25927,3606,440
25928,3606,440
25929,3606,440
25930,3605,440
25931,3605,440
25932,3605,440
25933,3605,440
25934,3604,440
25935,3604,440
25936,3605,440
25937,3605,440
25938,3605,440
25939,3604,440
25940,3605,440
25941,3605,440
25942,3605,440
25943,3605,440
25944,3605,440
25945,3605,440
25946,3606,440
25947,3606,440
25948,3607,440
25949,3607,440
25950,3607,440
25951,3607,440
25952,3607,440
25953,3607,440
25954,3607,440
25955,3607,440
25956,3607,440
25957,3607,440
25958,3607,440
25959,3607,440
25960,3607,440
25961,3606,440
25962,3605,440
25963,3605,440
25964,3605,440
25965,3606,440
25966,3606,440
25967,3606,440
25968,3606,440
25969,3605,440
25970,3605,440
25971,3605,440
25972,3604,440
25973,3604,440
25974,3604,440
25975,3604,440
25976,3604,440
25977,3604,440
25978,3604,440
25979,3604,440
25980,3604,440
25981,3604,440
25982,3604,440
25983,3604,440
25984,3603,440
25985,3602,440
25986,3601,440
25987,3601,440
25988,3600,440
25989,3600,440
25990,3600,440
25991,3600,440
25992,3600,440
25993,3600,440
25994,3600,440
25995,3602,440
25996,3602,440
25997,3602,440
25998,3602,440
25999,3602,440
26000,3601,440
26001,3601,440
26002,3601,440
26003,3601,440
26004,3601,440
26005,3601,440
26006,3601,440
26007,3601,440
26008,3601,440
26009,3601,440
26010,3601,440
26011,3600,440
26012,3600,440
26013,3600,440
26014,3600,440
26015,3600,440
26016,3599,440
26017,3599,440
26018,3599,440
26019,3598,440
26020,3598,440
26021,3596,440
26022,3596,440
26023,3596,440
26024,3596,440
26025,3596,440
26026,3596,440
26027,3595,440
26028,3595,440
26029,3595,440
26030,3595,440
26031,3593,440
26032,3593,440
26033,3593,440
26034,3593,440
26035,3593,440
26036,3593,440
26037,3593,440
26038,3592,440
26039,3592,440
26040,3591,440
26041,3591,440
26042,3591,440
26043,3591,440
26044,3591,440
26045,3591,440
26046,3590,440
26047,3589,440
26048,3589,440
26049,3589,440
26050,3588,440
26051,3588,440
26052,3588,440
26053,3588,440
26054,3588,440
26055,3588,440
26056,3588,440
26057,3588,440
26058,3588,440
26059,3589,440
26060,3589,440
26061,3588,440
26062,3588,440
26063,3588,440
26064,3588,440
26065,3588,440
26066,3587,440
26067,3587,440
26068,3587,440
26069,3587,440
26070,3587,440
26071,3587,440
26072,3585,440
26073,3585,440
26074,3585,440
26075,3585,440
26076,3585,440
26077,3585,440
26078,3585,440
26079,3585,440
26080,3585,440
26081,3585,440
26082,3584,440
26083,3584,440
26084,3584,440
26085,3584,440
26086,3585,440
26087,3585,440
26088,3585,440
26089,3585,440
26090,3585,440
26091,3586,440
26092,3586,440
26093,3586,440
26094,3586,440
26095,3586,440
26096,3587,440
26097,3587,440
26098,3587,440
26099,3588,440
26100,3588,440
26101,3588,440
26102,3589,440
26103,3589,440
26104,3589,440
26105,3588,440
26106,3587,440
26107,3587,440
26108,3587,440
26109,3587,440
26110,3588,440
26111,3588,440
26112,3587,440
26113,3586,440
26114,3586,440
26115,3586,440
26116,3586,440
26117,3586,440
26118,3585,440
26119,3584,440
26120,3584,440
26121,3584,440
26122,3583,440
26123,3583,440
26124,3583,440
26125,3582,440
26126,3582,440
26127,3582,440
26128,3582,440
26129,3581,440
26130,3580,440
26131,3579,440
26132,3579,440
26133,3578,440
26134,3578,440
26135,3578,440
26136,3578,440
26137,3578,440
26138,3578,440
26139,3578,440
26140,3578,440
26141,3578,440
26142,3578,440
26143,3576,440
26144,3576,440
26145,3576,440
26146,3576,440
26147,3576,440
26148,3577,440
26149,3578,440
26150,3578,440
26151,3578,440
26152,3579,440
26153,3579,440
26154,3579,440
26155,3579,440
26156,3579,440
26157,3579,440
26158,3579,440
26159,3579,440
26160,3579,440
26161,3578,440
26162,3578,440
26163,3577,440
26164,3577,440
26165,3578,440
26166,3578,440
26167,3578,440
26168,3578,440
26169,3578,440
26170,3579,440
26171,3580,440
26172,3580,440
26173,3580,440
26174,3579,440
26175,3579,440
26176,3579,440
26177,3578,440
26178,3578,440
26179,3578,440
26180,3578,440
26181,3578,440
26182,3579,440
26183,3579,440
26184,3579,440
26185,3579,440
26186,3579,440
26187,3579,440
26188,3579,440
26189,3578,440
26190,3578,440
26191,3578,440
26192,3579,440
26193,3579,440
26194,3579,440
26195,3579,440
26196,3579,440
26197,3579,440
26198,3579,440
26199,3579,440
26200,3578,440
26201,3578,440
26202,3578,440
26203,3577,440
26204,3577,440
26205,3577,440
26206,3577,440
26207,3578,440
26208,3578,440
26209,3578,440
26210,3578,440
26211,3578,440
26212,3578,440
26213,3578,440
26214,3578,440
26215,3578,440
26216,3578,440
26217,3578,440
26218,3578,440
26219,3578,440
26220,3578,440
26221,3577,440
26222,3577,440
26223,3577,440
26224,3577,440
26225,3577,440
26226,3577,440
26227,3578,440
26228,3578,440
26229,3579,440
26230,3579,440
26231,3579,440
26232,3579,440
26233,3579,440
26234,3579,440
26235,3579,440
26236,3578,440
26237,3578,440
26238,3578,440
26239,3578,440
26240,3578,440
26241,3577,440
26242,3578,440
26243,3578,440
26244,3578,440
26245,3578,440
26246,3577,440
26247,3577,440
26248,3577,440
26249,3576,440
26250,3576,440
26251,3577,440
26252,3577,440
26253,3577,440
26254,3577,440
26255,3577,440
26256,3577,440
26257,3577,440
26258,3577,440
26259,3575,440
26260,3575,440
26261,3575,440
26262,3575,440
26263,3576,440
26264,3576,440
26265,3576,440
26266,3576,440
26267,3576,440
26268,3576,440
26269,3576,440
26270,3576,440
26271,3576,440
26272,3576,440
26273,3576,440
26274,3576,440
26275,3576,440
26276,3575,440
26277,3575,440
26278,3575,440
26279,3575,440
26280,3575,440
26281,3575,440
26282,3575,440
26283,3575,440
26284,3575,440
26285,3575,440
26286,3574,440
26287,3574,440
26288,3574,440
26289,3575,440
26290,3574,440
26291,3574,440
26292,3573,440
26293,3572,440
26294,3572,440
26295,3573,440
26296,3573,440
26297,3572,440
26298,3572,440
26299,3572,440
26300,3572,440
26301,3572,440
26302,3572,440
26303,3572,440
26304,3571,440
26305,3571,440
26306,3571,440
26307,3572,440
26308,3572,440
26309,3572,440
26310,3573,440
26311,3573,440
26312,3573,440
26313,3571,440
26314,3571,440
26315,3571,440
26316,3571,440
26317,3569,440
26318,3569,440
26319,3568,440
26320,3567,440
26321,3567,440
26322,3567,440
26323,3567,440
26324,3568,440
26325,3567,440
26326,3568,440
26327,3568,440
26328,3568,440
26329,3568,440
26330,3568,440
26331,3568,440
26332,3567,440
26333,3567,440
26334,3567,440
26335,3567,440
26336,3567,440
26337,3567,440
26338,3566,440
26339,3567,440
26340,3566,440
26341,3566,440
26342,3566,440
26343,3566,440
26344,3566,440
26345,3565,440
26346,3565,440
26347,3565,440
26348,3565,440
26349,3564,440
26350,3564,440
26351,3564,440
26352,3565,440
26353,3565,440
26354,3565,440
26355,3564,440
26356,3565,440
26357,3566,440
26358,3566,440
26359,3566,440
26360,3566,440
26361,3566,440
26362,3566,440
26363,3565,440
26364,3565,440
26365,3565,440
26366,3565,440
26367,3565,440
26368,3565,440
26369,3565,440
26370,3565,440
26371,3565,440
26372,3565,440
26373,3565,440
26374,3565,440
26375,3565,440
26376,3565,440
26377,3565,440
26378,3565,440
26379,3564,440
26380,3565,440
26381,3565,440
26382,3565,440
26383,3565,440
26384,3566,440
26385,3565,440
26386,3564,440
26387,3564,440
26388,3564,440
26389,3563,440
26390,3563,440
26391,3562,440
26392,3562,440
26393,3562,440
26394,3562,440
26395,3562,440
26396,3563,440
26397,3563,440
26398,3563,440
26399,3562,440
26400,3562,440
26401,3562,440
26402,3562,440
26403,3562,440
26404,3562,440
26405,3562,440
26406,3562,440
26407,3561,440
26408,3561,440
26409,3561,440
26410,3561,440
26411,3561,440
26412,3560,440
